signature,file,startline,startcol,endline,endcol,properties
Landroid/net/ConnectivityManager;->networkCapabilitiesForFeature(ILjava/lang/String;)Landroid/net/NetworkCapabilities;,packages/modules/Connectivity/framework/src/android/net/ConnectivityManager.java,1692,5,1692,88,maxTargetSdk=30&trackingBug=170729553L
Landroid/net/ConnectivityManager;->sLegacyRequests:Ljava/util/HashMap;,packages/modules/Connectivity/framework/src/android/net/ConnectivityManager.java,1778,5,1778,88,maxTargetSdk=30&trackingBug=170729553L
Landroid/net/ConnectivityManager;->requestNetworkForFeatureLocked(Landroid/net/NetworkCapabilities;)Landroid/net/NetworkRequest;,packages/modules/Connectivity/framework/src/android/net/ConnectivityManager.java,1807,5,1807,88,maxTargetSdk=30&trackingBug=170729553L
Landroid/net/ConnectivityManager;->removeRequestForFeature(Landroid/net/NetworkCapabilities;)Z,packages/modules/Connectivity/framework/src/android/net/ConnectivityManager.java,1837,5,1837,88,maxTargetSdk=30&trackingBug=170729553L
Landroid/net/ConnectivityManager;->startNattKeepalive(Landroid/net/Network;ILandroid/net/ConnectivityManager$PacketKeepaliveCallback;Ljava/net/InetAddress;ILjava/net/InetAddress;)Landroid/net/ConnectivityManager$PacketKeepalive;,packages/modules/Connectivity/framework/src/android/net/ConnectivityManager.java,2061,5,2061,88,maxTargetSdk=30&trackingBug=170729553L
Landroid/net/ConnectivityManager;->requestRouteToHostAddress(ILjava/net/InetAddress;)Z,packages/modules/Connectivity/framework/src/android/net/ConnectivityManager.java,2242,5,2242,25,
Landroid/net/ConnectivityManager;->setBackgroundDataSetting(Z)V,packages/modules/Connectivity/framework/src/android/net/ConnectivityManager.java,2296,5,2296,25,
Landroid/net/ConnectivityManager;->getMobileDataEnabled()Z,packages/modules/Connectivity/framework/src/android/net/ConnectivityManager.java,2306,5,2306,25,
Landroid/net/ConnectivityManager;->from(Landroid/content/Context;)Landroid/net/ConnectivityManager;,packages/modules/Connectivity/framework/src/android/net/ConnectivityManager.java,2412,5,2412,25,
Landroid/net/ConnectivityManager;->getInstance()Landroid/net/ConnectivityManager;,packages/modules/Connectivity/framework/src/android/net/ConnectivityManager.java,2457,5,2457,25,
Landroid/net/ConnectivityManager;->getTetherableIfaces()[Ljava/lang/String;,packages/modules/Connectivity/framework/src/android/net/ConnectivityManager.java,2475,5,2475,25,
Landroid/net/ConnectivityManager;->getTetheredIfaces()[Ljava/lang/String;,packages/modules/Connectivity/framework/src/android/net/ConnectivityManager.java,2490,5,2490,25,
Landroid/net/ConnectivityManager;->getTetheringErroredIfaces()[Ljava/lang/String;,packages/modules/Connectivity/framework/src/android/net/ConnectivityManager.java,2511,5,2511,25,
Landroid/net/ConnectivityManager;->tether(Ljava/lang/String;)I,packages/modules/Connectivity/framework/src/android/net/ConnectivityManager.java,2555,5,2555,88,maxTargetSdk=30&trackingBug=170729553L
Landroid/net/ConnectivityManager;->untether(Ljava/lang/String;)I,packages/modules/Connectivity/framework/src/android/net/ConnectivityManager.java,2579,5,2579,25,
Landroid/net/ConnectivityManager;->getTetherableUsbRegexs()[Ljava/lang/String;,packages/modules/Connectivity/framework/src/android/net/ConnectivityManager.java,2817,5,2817,25,
Landroid/net/ConnectivityManager;->getTetherableWifiRegexs()[Ljava/lang/String;,packages/modules/Connectivity/framework/src/android/net/ConnectivityManager.java,2835,5,2835,25,
Landroid/net/ConnectivityManager;->getTetherableBluetoothRegexs()[Ljava/lang/String;,packages/modules/Connectivity/framework/src/android/net/ConnectivityManager.java,2854,5,2854,25,
Landroid/net/ConnectivityManager;->setUsbTethering(Z)I,packages/modules/Connectivity/framework/src/android/net/ConnectivityManager.java,2878,5,2878,25,
Landroid/net/ConnectivityManager;->getLastTetherError(Ljava/lang/String;)I,packages/modules/Connectivity/framework/src/android/net/ConnectivityManager.java,2994,5,2994,88,maxTargetSdk=30&trackingBug=170729553L
Landroid/net/ConnectivityManager;->isNetworkSupported(I)Z,packages/modules/Connectivity/framework/src/android/net/ConnectivityManager.java,3244,5,3244,88,maxTargetSdk=28&trackingBug=130143562L
Landroid/net/ConnectivityManager;->setProcessDefaultNetworkForHostResolution(Landroid/net/Network;)Z,packages/modules/Connectivity/framework/src/android/net/ConnectivityManager.java,5025,5,5025,88,maxTargetSdk=30&trackingBug=170729553L
Landroid/net/IConnectivityManager;->getActiveNetworkInfo()Landroid/net/NetworkInfo;,packages/modules/Connectivity/framework/src/android/net/IConnectivityManager.aidl,59,1,59,25,
Landroid/net/IConnectivityManager;->getNetworkInfo(I)Landroid/net/NetworkInfo;,packages/modules/Connectivity/framework/src/android/net/IConnectivityManager.aidl,62,1,62,44,maxTargetSdk=28
Landroid/net/IConnectivityManager;->getAllNetworkInfo()[Landroid/net/NetworkInfo;,packages/modules/Connectivity/framework/src/android/net/IConnectivityManager.aidl,65,1,65,25,
Landroid/net/IConnectivityManager;->getActiveLinkProperties()Landroid/net/LinkProperties;,packages/modules/Connectivity/framework/src/android/net/IConnectivityManager.aidl,74,1,74,25,
Landroid/net/IConnectivityManager;->getAllNetworkState()[Landroid/net/NetworkState;,packages/modules/Connectivity/framework/src/android/net/IConnectivityManager.aidl,82,1,82,69,maxTargetSdk=30&trackingBug=170729553L
Landroid/net/IConnectivityManager;->getLastTetherError(Ljava/lang/String;)I,packages/modules/Connectivity/framework/src/android/net/IConnectivityManager.aidl,92,1,93,99,maxTargetSdk=29&publicAlternatives=%22Use+%7B%40code+TetheringManager%23getLastTetherError%7D+as+alternative%22
Landroid/net/IConnectivityManager;->getTetherableIfaces()[Ljava/lang/String;,packages/modules/Connectivity/framework/src/android/net/IConnectivityManager.aidl,96,1,97,100,maxTargetSdk=29&publicAlternatives=%22Use+%7B%40code+TetheringManager%23getTetherableIfaces%7D+as+alternative%22
Landroid/net/IConnectivityManager;->getTetheredIfaces()[Ljava/lang/String;,packages/modules/Connectivity/framework/src/android/net/IConnectivityManager.aidl,100,1,101,98,maxTargetSdk=29&publicAlternatives=%22Use+%7B%40code+TetheringManager%23getTetheredIfaces%7D+as+alternative%22
Landroid/net/IConnectivityManager;->getTetheringErroredIfaces()[Ljava/lang/String;,packages/modules/Connectivity/framework/src/android/net/IConnectivityManager.aidl,104,1,106,32,maxTargetSdk=29&publicAlternatives=%22Use+%7B%40code+TetheringManager%23getTetheringErroredIfaces%7D+as+Alternative%22
Landroid/net/IConnectivityManager;->getTetherableUsbRegexs()[Ljava/lang/String;,packages/modules/Connectivity/framework/src/android/net/IConnectivityManager.aidl,109,1,110,103,maxTargetSdk=29&publicAlternatives=%22Use+%7B%40code+TetheringManager%23getTetherableUsbRegexs%7D+as+alternative%22
Landroid/net/IConnectivityManager;->getTetherableWifiRegexs()[Ljava/lang/String;,packages/modules/Connectivity/framework/src/android/net/IConnectivityManager.aidl,113,1,114,104,maxTargetSdk=29&publicAlternatives=%22Use+%7B%40code+TetheringManager%23getTetherableWifiRegexs%7D+as+alternative%22
Landroid/net/IConnectivityManager;->reportInetCondition(II)V,packages/modules/Connectivity/framework/src/android/net/IConnectivityManager.aidl,117,1,117,44,maxTargetSdk=28
Landroid/net/IpConfiguration;->httpProxy:Landroid/net/ProxyInfo;,packages/modules/Connectivity/framework/src/android/net/IpConfiguration.java,82,5,82,25,
Landroid/net/IpConfiguration;-><init>(Landroid/net/IpConfiguration$IpAssignment;Landroid/net/IpConfiguration$ProxySettings;Landroid/net/StaticIpConfiguration;Landroid/net/ProxyInfo;)V,packages/modules/Connectivity/framework/src/android/net/IpConfiguration.java,102,5,102,88,maxTargetSdk=30&trackingBug=170729553L
Landroid/net/LinkAddress;->address:Ljava/net/InetAddress;,packages/modules/Connectivity/framework/src/android/net/LinkAddress.java,81,5,81,88,maxTargetSdk=28&trackingBug=115609023L
Landroid/net/LinkAddress;->prefixLength:I,packages/modules/Connectivity/framework/src/android/net/LinkAddress.java,87,5,87,88,maxTargetSdk=28&trackingBug=115609023L
Landroid/net/LinkAddress;->isIPv6()Z,packages/modules/Connectivity/framework/src/android/net/LinkAddress.java,172,5,172,63,maxTargetSdk=28
Landroid/net/LinkAddress;->getNetworkPrefixLength()I,packages/modules/Connectivity/framework/src/android/net/LinkAddress.java,412,5,412,25,
Landroid/net/LinkProperties;->mIfaceName:Ljava/lang/String;,packages/modules/Connectivity/framework/src/android/net/LinkProperties.java,56,5,56,88,maxTargetSdk=28&trackingBug=115609023L
Landroid/net/LinkProperties;->compareProvisioning(Landroid/net/LinkProperties;Landroid/net/LinkProperties;)Landroid/net/LinkProperties$ProvisioningChange;,packages/modules/Connectivity/framework/src/android/net/LinkProperties.java,116,5,116,88,maxTargetSdk=30&trackingBug=170729553L
Landroid/net/LinkProperties;->getAllAddresses()Ljava/util/List;,packages/modules/Connectivity/framework/src/android/net/LinkProperties.java,265,5,265,25,
Landroid/net/LinkProperties;->addStackedLink(Landroid/net/LinkProperties;)Z,packages/modules/Connectivity/framework/src/android/net/LinkProperties.java,826,5,826,25,
Landroid/net/LinkProperties;->getStackedLinks()Ljava/util/List;,packages/modules/Connectivity/framework/src/android/net/LinkProperties.java,854,5,854,88,maxTargetSdk=30&trackingBug=170729553L
Landroid/net/LinkProperties;->hasIPv4Address()Z,packages/modules/Connectivity/framework/src/android/net/LinkProperties.java,1026,5,1026,63,maxTargetSdk=28
Landroid/net/LinkProperties;->hasGlobalIPv6Address()Z,packages/modules/Connectivity/framework/src/android/net/LinkProperties.java,1081,5,1081,63,maxTargetSdk=28
Landroid/net/LinkProperties;->hasIPv4DefaultRoute()Z,packages/modules/Connectivity/framework/src/android/net/LinkProperties.java,1124,5,1124,63,maxTargetSdk=28
Landroid/net/LinkProperties;->hasIPv6DefaultRoute()Z,packages/modules/Connectivity/framework/src/android/net/LinkProperties.java,1152,5,1152,63,maxTargetSdk=28
Landroid/net/LinkProperties;->hasIPv4DnsServer()Z,packages/modules/Connectivity/framework/src/android/net/LinkProperties.java,1180,5,1180,63,maxTargetSdk=28
Landroid/net/LinkProperties;->hasIPv6DnsServer()Z,packages/modules/Connectivity/framework/src/android/net/LinkProperties.java,1208,5,1208,63,maxTargetSdk=28
Landroid/net/LinkProperties;->isIPv6Provisioned()Z,packages/modules/Connectivity/framework/src/android/net/LinkProperties.java,1278,5,1278,63,maxTargetSdk=28
Landroid/net/LinkProperties;->isIdenticalInterfaceName(Landroid/net/LinkProperties;)Z,packages/modules/Connectivity/framework/src/android/net/LinkProperties.java,1341,5,1341,25,
Landroid/net/LinkProperties;->isIdenticalAddresses(Landroid/net/LinkProperties;)Z,packages/modules/Connectivity/framework/src/android/net/LinkProperties.java,1364,5,1364,25,
Landroid/net/LinkProperties;->isIdenticalDnses(Landroid/net/LinkProperties;)Z,packages/modules/Connectivity/framework/src/android/net/LinkProperties.java,1376,5,1376,25,
Landroid/net/LinkProperties;->isIdenticalRoutes(Landroid/net/LinkProperties;)Z,packages/modules/Connectivity/framework/src/android/net/LinkProperties.java,1429,5,1429,25,
Landroid/net/LinkProperties;->isIdenticalHttpProxy(Landroid/net/LinkProperties;)Z,packages/modules/Connectivity/framework/src/android/net/LinkProperties.java,1441,5,1441,88,maxTargetSdk=28&trackingBug=115609023L
Landroid/net/LinkProperties;->isIdenticalStackedLinks(Landroid/net/LinkProperties;)Z,packages/modules/Connectivity/framework/src/android/net/LinkProperties.java,1453,5,1453,88,maxTargetSdk=30&trackingBug=170729553L
Landroid/net/MacAddress;->ALL_ZEROS_ADDRESS:Landroid/net/MacAddress;,packages/modules/Connectivity/framework/src/android/net/MacAddress.java,62,5,62,88,maxTargetSdk=30&trackingBug=170729553L
Landroid/net/Network;->netId:I,packages/modules/Connectivity/framework/src/android/net/Network.java,69,5,69,25,
Landroid/net/Network;-><init>(I)V,packages/modules/Connectivity/framework/src/android/net/Network.java,115,5,115,88,maxTargetSdk=30&trackingBug=170729553L
Landroid/net/NetworkAgent;->sendNetworkInfo(Landroid/net/NetworkInfo;)V,packages/modules/Connectivity/framework/src/android/net/NetworkAgent.java,946,5,946,88,maxTargetSdk=28&trackingBug=115609023L
Landroid/net/NetworkCapabilities;->mNetworkCapabilities:J,packages/modules/Connectivity/framework/src/android/net/NetworkCapabilities.java,222,5,222,88,maxTargetSdk=30&trackingBug=170729553L
Landroid/net/NetworkCapabilities;->mSignalStrength:I,packages/modules/Connectivity/framework/src/android/net/NetworkCapabilities.java,1439,5,1439,63,maxTargetSdk=28
Landroid/net/NetworkCapabilities;->hasSignalStrength()Z,packages/modules/Connectivity/framework/src/android/net/NetworkCapabilities.java,1465,5,1465,88,maxTargetSdk=30&trackingBug=170729553L
Landroid/net/NetworkCapabilities;->transportNamesOf([I)Ljava/lang/String;,packages/modules/Connectivity/framework/src/android/net/NetworkCapabilities.java,2148,5,2148,88,maxTargetSdk=30&trackingBug=170729553L
Landroid/net/NetworkInfo;-><init>(Landroid/net/NetworkInfo;)V,packages/modules/Connectivity/framework/src/android/net/NetworkInfo.java,181,5,181,25,
Landroid/net/NetworkInfo;->setSubtype(ILjava/lang/String;)V,packages/modules/Connectivity/framework/src/android/net/NetworkInfo.java,250,5,250,25,
Landroid/net/NetworkInfo;->setIsAvailable(Z)V,packages/modules/Connectivity/framework/src/android/net/NetworkInfo.java,369,5,369,25,
Landroid/net/NetworkInfo;->setFailover(Z)V,packages/modules/Connectivity/framework/src/android/net/NetworkInfo.java,400,5,400,25,
Landroid/net/NetworkInfo;->setRoaming(Z)V,packages/modules/Connectivity/framework/src/android/net/NetworkInfo.java,431,5,431,25,
Landroid/net/NetworkRequest;->networkCapabilities:Landroid/net/NetworkCapabilities;,packages/modules/Connectivity/framework/src/android/net/NetworkRequest.java,78,5,78,88,maxTargetSdk=30&trackingBug=170729553L
Landroid/net/NetworkRequest;->requestId:I,packages/modules/Connectivity/framework/src/android/net/NetworkRequest.java,87,5,87,88,maxTargetSdk=30&trackingBug=170729553L
Landroid/net/NetworkRequest;->legacyType:I,packages/modules/Connectivity/framework/src/android/net/NetworkRequest.java,95,5,95,88,maxTargetSdk=28&trackingBug=115609023L
Landroid/net/NetworkState;->network:Landroid/net/Network;,packages/modules/Connectivity/framework/src/android/net/NetworkState.java,41,5,41,88,maxTargetSdk=28&trackingBug=115609023L
Landroid/net/NetworkState;-><init>(Landroid/os/Parcel;)V,packages/modules/Connectivity/framework/src/android/net/NetworkState.java,92,5,92,25,
Landroid/net/NetworkState;->CREATOR:Landroid/os/Parcelable$Creator;,packages/modules/Connectivity/framework/src/android/net/NetworkState.java,117,5,117,25,
Landroid/net/NetworkUtils;->intToInetAddress(I)Ljava/net/InetAddress;,packages/modules/Connectivity/framework/src/android/net/NetworkUtils.java,183,5,183,25,
Landroid/net/NetworkUtils;->prefixLengthToNetmaskInt(I)I,packages/modules/Connectivity/framework/src/android/net/NetworkUtils.java,205,5,205,25,
Landroid/net/NetworkUtils;->netmaskToPrefixLength(Ljava/net/Inet4Address;)I,packages/modules/Connectivity/framework/src/android/net/NetworkUtils.java,228,5,228,88,maxTargetSdk=30&trackingBug=170729553L
Landroid/net/NetworkUtils;->numericToInetAddress(Ljava/lang/String;)Ljava/net/InetAddress;,packages/modules/Connectivity/framework/src/android/net/NetworkUtils.java,245,5,245,63,maxTargetSdk=28
Landroid/net/NetworkUtils;->getImplicitNetmask(Ljava/net/Inet4Address;)I,packages/modules/Connectivity/framework/src/android/net/NetworkUtils.java,255,5,255,88,maxTargetSdk=30&trackingBug=170729553L
Landroid/net/NetworkUtils;->trimV4AddrZeros(Ljava/lang/String;)Ljava/lang/String;,packages/modules/Connectivity/framework/src/android/net/NetworkUtils.java,356,5,356,25,
Landroid/net/ProxyInfo;-><init>(Ljava/lang/String;ILjava/lang/String;)V,packages/modules/Connectivity/framework/src/android/net/ProxyInfo.java,108,5,108,25,
Landroid/net/RouteInfo;->mGateway:Ljava/net/InetAddress;,packages/modules/Connectivity/framework/src/android/net/RouteInfo.java,78,5,78,25,
Landroid/net/RouteInfo;->mIsHost:Z,packages/modules/Connectivity/framework/src/android/net/RouteInfo.java,113,5,113,88,maxTargetSdk=28&trackingBug=115609023L
Landroid/net/RouteInfo;-><init>(Landroid/net/IpPrefix;Ljava/net/InetAddress;Ljava/lang/String;)V,packages/modules/Connectivity/framework/src/android/net/RouteInfo.java,237,5,237,88,maxTargetSdk=30&trackingBug=170729553L
Landroid/net/RouteInfo;-><init>(Landroid/net/LinkAddress;Ljava/net/InetAddress;Ljava/lang/String;)V,packages/modules/Connectivity/framework/src/android/net/RouteInfo.java,246,5,246,25,
Landroid/net/RouteInfo;-><init>(Landroid/net/LinkAddress;Ljava/net/InetAddress;)V,packages/modules/Connectivity/framework/src/android/net/RouteInfo.java,278,5,278,25,
Landroid/net/RouteInfo;-><init>(Ljava/net/InetAddress;)V,packages/modules/Connectivity/framework/src/android/net/RouteInfo.java,290,5,290,25,
Landroid/net/RouteInfo;->isHost()Z,packages/modules/Connectivity/framework/src/android/net/RouteInfo.java,342,5,342,88,maxTargetSdk=28&trackingBug=115609023L
Landroid/net/RouteInfo;->selectBestRoute(Ljava/util/Collection;Ljava/net/InetAddress;)Landroid/net/RouteInfo;,packages/modules/Connectivity/framework/src/android/net/RouteInfo.java,506,5,506,88,maxTargetSdk=30&trackingBug=170729553L
Landroid/net/StaticIpConfiguration;->ipAddress:Landroid/net/LinkAddress;,packages/modules/Connectivity/framework/src/android/net/StaticIpConfiguration.java,56,5,56,88,maxTargetSdk=30&trackingBug=170729553L
Landroid/net/StaticIpConfiguration;->gateway:Ljava/net/InetAddress;,packages/modules/Connectivity/framework/src/android/net/StaticIpConfiguration.java,60,5,60,88,maxTargetSdk=30&trackingBug=170729553L
Landroid/net/StaticIpConfiguration;->dnsServers:Ljava/util/ArrayList;,packages/modules/Connectivity/framework/src/android/net/StaticIpConfiguration.java,64,5,64,88,maxTargetSdk=30&trackingBug=170729553L
Landroid/net/StaticIpConfiguration;->domains:Ljava/lang/String;,packages/modules/Connectivity/framework/src/android/net/StaticIpConfiguration.java,68,5,68,88,maxTargetSdk=30&trackingBug=170729553L
