signature,file,startline,startcol,endline,endcol,properties
Lcom/android/org/conscrypt/NativeCrypto;->ASN1_seq_pack_X509([J)[B,external/conscrypt/repackaged/common/src/main/java/com/android/org/conscrypt/NativeCrypto.java,452,5,452,51,
Lcom/android/org/conscrypt/NativeCrypto;->ASN1_seq_unpack_X509_bio(J)[J,external/conscrypt/repackaged/common/src/main/java/com/android/org/conscrypt/NativeCrypto.java,455,5,455,51,
Lcom/android/org/conscrypt/NativeCrypto;->d2i_PKCS7_bio(JI)[J,external/conscrypt/repackaged/common/src/main/java/com/android/org/conscrypt/NativeCrypto.java,527,5,527,51,
Lcom/android/org/conscrypt/NativeCrypto;->i2d_PKCS7([J)[B,external/conscrypt/repackaged/common/src/main/java/com/android/org/conscrypt/NativeCrypto.java,531,5,531,51,
Lcom/android/org/conscrypt/NativeCrypto;->PEM_read_bio_PKCS7(JI)[J,external/conscrypt/repackaged/common/src/main/java/com/android/org/conscrypt/NativeCrypto.java,534,5,534,51,
Lcom/android/org/conscrypt/NativeCrypto;->d2i_X509_CRL_bio(J)J,external/conscrypt/repackaged/common/src/main/java/com/android/org/conscrypt/NativeCrypto.java,539,5,539,51,
Lcom/android/org/conscrypt/NativeCrypto;->PEM_read_bio_X509_CRL(J)J,external/conscrypt/repackaged/common/src/main/java/com/android/org/conscrypt/NativeCrypto.java,541,5,541,51,
Lcom/android/org/conscrypt/NativeCrypto;->X509_REVOKED_dup(J)J,external/conscrypt/repackaged/common/src/main/java/com/android/org/conscrypt/NativeCrypto.java,588,5,588,51,
Lcom/android/org/conscrypt/NativeCrypto;->i2d_X509_REVOKED(J)[B,external/conscrypt/repackaged/common/src/main/java/com/android/org/conscrypt/NativeCrypto.java,591,5,591,51,
Lcom/android/org/conscrypt/NativeCrypto;->get_X509_REVOKED_ext_oids(JI)[Ljava/lang/String;,external/conscrypt/repackaged/common/src/main/java/com/android/org/conscrypt/NativeCrypto.java,594,5,594,51,
Lcom/android/org/conscrypt/NativeCrypto;->X509_REVOKED_get_ext_oid(JLjava/lang/String;)[B,external/conscrypt/repackaged/common/src/main/java/com/android/org/conscrypt/NativeCrypto.java,597,5,597,51,
Lcom/android/org/conscrypt/NativeCrypto;->X509_REVOKED_get_serialNumber(J)[B,external/conscrypt/repackaged/common/src/main/java/com/android/org/conscrypt/NativeCrypto.java,600,5,600,51,
Lcom/android/org/conscrypt/NativeCrypto;->X509_REVOKED_get_ext(JLjava/lang/String;)J,external/conscrypt/repackaged/common/src/main/java/com/android/org/conscrypt/NativeCrypto.java,603,5,603,51,
Lcom/android/org/conscrypt/NativeCrypto;->get_X509_REVOKED_revocationDate(J)J,external/conscrypt/repackaged/common/src/main/java/com/android/org/conscrypt/NativeCrypto.java,607,5,607,51,
Lcom/android/org/conscrypt/NativeCrypto;->X509_REVOKED_print(JJ)V,external/conscrypt/repackaged/common/src/main/java/com/android/org/conscrypt/NativeCrypto.java,610,5,610,51,
Lcom/android/org/conscrypt/NativeCrypto;->X509_supported_extension(J)I,external/conscrypt/repackaged/common/src/main/java/com/android/org/conscrypt/NativeCrypto.java,615,5,615,51,
Lcom/android/org/conscrypt/NativeCrypto;->ASN1_TIME_to_Calendar(JLjava/util/Calendar;)V,external/conscrypt/repackaged/common/src/main/java/com/android/org/conscrypt/NativeCrypto.java,620,5,620,51,
Lcom/android/org/conscrypt/NativeCrypto;->create_BIO_InputStream(Lcom/android/org/conscrypt/OpenSSLBIOInputStream;Z)J,external/conscrypt/repackaged/common/src/main/java/com/android/org/conscrypt/NativeCrypto.java,762,5,762,51,
Lcom/android/org/conscrypt/NativeCrypto;->create_BIO_OutputStream(Ljava/io/OutputStream;)J,external/conscrypt/repackaged/common/src/main/java/com/android/org/conscrypt/NativeCrypto.java,765,5,765,51,
Lcom/android/org/conscrypt/NativeCrypto;->BIO_free_all(J)V,external/conscrypt/repackaged/common/src/main/java/com/android/org/conscrypt/NativeCrypto.java,768,5,768,51,
Lcom/android/org/conscrypt/NativeCrypto;->SSL_CTX_new()J,external/conscrypt/repackaged/common/src/main/java/com/android/org/conscrypt/NativeCrypto.java,878,5,878,51,
Lcom/android/org/conscrypt/NativeCrypto;->SSL_SESSION_session_id(J)[B,external/conscrypt/repackaged/common/src/main/java/com/android/org/conscrypt/NativeCrypto.java,1239,5,1239,51,
Lcom/android/org/conscrypt/NativeCrypto;->SSL_SESSION_get_time(J)J,external/conscrypt/repackaged/common/src/main/java/com/android/org/conscrypt/NativeCrypto.java,1242,5,1242,51,
Lcom/android/org/conscrypt/NativeCrypto;->SSL_SESSION_get_version(J)Ljava/lang/String;,external/conscrypt/repackaged/common/src/main/java/com/android/org/conscrypt/NativeCrypto.java,1247,5,1247,51,
Lcom/android/org/conscrypt/NativeCrypto;->SSL_SESSION_cipher(J)Ljava/lang/String;,external/conscrypt/repackaged/common/src/main/java/com/android/org/conscrypt/NativeCrypto.java,1250,5,1250,51,
Lcom/android/org/conscrypt/NativeCrypto;->SSL_SESSION_free(J)V,external/conscrypt/repackaged/common/src/main/java/com/android/org/conscrypt/NativeCrypto.java,1257,5,1257,51,
Lcom/android/org/conscrypt/NativeCrypto;->i2d_SSL_SESSION(J)[B,external/conscrypt/repackaged/common/src/main/java/com/android/org/conscrypt/NativeCrypto.java,1260,5,1260,51,
Lcom/android/org/conscrypt/NativeCrypto;->d2i_SSL_SESSION([B)J,external/conscrypt/repackaged/common/src/main/java/com/android/org/conscrypt/NativeCrypto.java,1263,5,1263,51,
Lcom/android/org/conscrypt/OpenSSLBIOInputStream;-><init>(Ljava/io/InputStream;Z)V,external/conscrypt/repackaged/common/src/main/java/com/android/org/conscrypt/OpenSSLBIOInputStream.java,32,5,32,51,
Lcom/android/org/conscrypt/OpenSSLBIOInputStream;->getBioContext()J,external/conscrypt/repackaged/common/src/main/java/com/android/org/conscrypt/OpenSSLBIOInputStream.java,39,5,39,51,
Lcom/android/org/conscrypt/OpenSSLBIOInputStream;->release()V,external/conscrypt/repackaged/common/src/main/java/com/android/org/conscrypt/OpenSSLBIOInputStream.java,44,5,44,51,
Lcom/android/org/conscrypt/OpenSSLContextImpl$TLSv12;-><init>()V,external/conscrypt/repackaged/common/src/main/java/com/android/org/conscrypt/OpenSSLContextImpl.java,183,9,183,55,
Lcom/android/org/conscrypt/OpenSSLContextImpl;->getPreferred()Lcom/android/org/conscrypt/OpenSSLContextImpl;,external/conscrypt/repackaged/common/src/main/java/com/android/org/conscrypt/OpenSSLContextImpl.java,61,5,61,51,
Lcom/android/org/conscrypt/OpenSSLContextImpl;-><init>()V,external/conscrypt/repackaged/common/src/main/java/com/android/org/conscrypt/OpenSSLContextImpl.java,73,5,73,51,
Lcom/android/org/conscrypt/OpenSSLKey;-><init>(J)V,external/conscrypt/repackaged/common/src/main/java/com/android/org/conscrypt/OpenSSLKey.java,48,5,48,51,
Lcom/android/org/conscrypt/OpenSSLKey;->getNativeRef()Lcom/android/org/conscrypt/NativeRef$EVP_PKEY;,external/conscrypt/repackaged/common/src/main/java/com/android/org/conscrypt/OpenSSLKey.java,68,5,69,33,
Lcom/android/org/conscrypt/OpenSSLKey;->fromPrivateKey(Ljava/security/PrivateKey;)Lcom/android/org/conscrypt/OpenSSLKey;,external/conscrypt/repackaged/common/src/main/java/com/android/org/conscrypt/OpenSSLKey.java,82,5,82,51,
Lcom/android/org/conscrypt/OpenSSLKey;->getPublicKey()Ljava/security/PublicKey;,external/conscrypt/repackaged/common/src/main/java/com/android/org/conscrypt/OpenSSLKey.java,285,5,285,51,
Lcom/android/org/conscrypt/OpenSSLKeyHolder;->getOpenSSLKey()Lcom/android/org/conscrypt/OpenSSLKey;,external/conscrypt/repackaged/common/src/main/java/com/android/org/conscrypt/OpenSSLKeyHolder.java,26,5,26,51,
Lcom/android/org/conscrypt/OpenSSLProvider;-><init>()V,external/conscrypt/repackaged/common/src/main/java/com/android/org/conscrypt/OpenSSLProvider.java,53,5,54,33,
Lcom/android/org/conscrypt/OpenSSLRandom;-><init>()V,external/conscrypt/repackaged/common/src/main/java/com/android/org/conscrypt/OpenSSLRandom.java,32,5,33,33,
Lcom/android/org/conscrypt/OpenSSLSocketFactoryImpl;->sslParameters:Lcom/android/org/conscrypt/SSLParametersImpl;,external/conscrypt/repackaged/common/src/main/java/com/android/org/conscrypt/OpenSSLSocketFactoryImpl.java,41,5,41,51,
Lcom/android/org/conscrypt/OpenSSLSocketFactoryImpl;-><init>()V,external/conscrypt/repackaged/common/src/main/java/com/android/org/conscrypt/OpenSSLSocketFactoryImpl.java,45,5,45,51,
Lcom/android/org/conscrypt/OpenSSLSocketImpl;->getHostname()Ljava/lang/String;,external/conscrypt/repackaged/common/src/main/java/com/android/org/conscrypt/OpenSSLSocketImpl.java,64,5,64,95,maxTargetSdk=30&trackingBug=170729553L
Lcom/android/org/conscrypt/OpenSSLSocketImpl;->setHostname(Ljava/lang/String;)V,external/conscrypt/repackaged/common/src/main/java/com/android/org/conscrypt/OpenSSLSocketImpl.java,70,5,72,100,maxTargetSdk=29&publicAlternatives=%22Use+%7B%40code+javax.net.ssl.SSLParameters%23setServerNames%7D.%22
Lcom/android/org/conscrypt/OpenSSLSocketImpl;->getHostnameOrIP()Ljava/lang/String;,external/conscrypt/repackaged/common/src/main/java/com/android/org/conscrypt/OpenSSLSocketImpl.java,80,5,80,95,maxTargetSdk=30&trackingBug=170729553L
Lcom/android/org/conscrypt/OpenSSLSocketImpl;->setSoWriteTimeout(I)V,external/conscrypt/repackaged/common/src/main/java/com/android/org/conscrypt/OpenSSLSocketImpl.java,91,5,92,77,maxTargetSdk=30&trackingBug=170729553L
Lcom/android/org/conscrypt/OpenSSLSocketImpl;->getSoWriteTimeout()I,external/conscrypt/repackaged/common/src/main/java/com/android/org/conscrypt/OpenSSLSocketImpl.java,99,5,99,95,maxTargetSdk=30&trackingBug=170729553L
Lcom/android/org/conscrypt/OpenSSLSocketImpl;->setHandshakeTimeout(I)V,external/conscrypt/repackaged/common/src/main/java/com/android/org/conscrypt/OpenSSLSocketImpl.java,105,5,106,77,maxTargetSdk=30&trackingBug=170729553L
Lcom/android/org/conscrypt/OpenSSLSocketImpl;->setUseSessionTickets(Z)V,external/conscrypt/repackaged/common/src/main/java/com/android/org/conscrypt/OpenSSLSocketImpl.java,117,5,120,92,maxTargetSdk=29&publicAlternatives=%22Use+%7B%40link+android.net.ssl.SSLSockets%23setUseSessionTickets%7D.%22
Lcom/android/org/conscrypt/OpenSSLSocketImpl;->setChannelIdEnabled(Z)V,external/conscrypt/repackaged/common/src/main/java/com/android/org/conscrypt/OpenSSLSocketImpl.java,126,5,126,95,maxTargetSdk=30&trackingBug=170729553L
Lcom/android/org/conscrypt/OpenSSLSocketImpl;->getChannelId()[B,external/conscrypt/repackaged/common/src/main/java/com/android/org/conscrypt/OpenSSLSocketImpl.java,130,5,130,95,maxTargetSdk=30&trackingBug=170729553L
Lcom/android/org/conscrypt/OpenSSLSocketImpl;->setChannelIdPrivateKey(Ljava/security/PrivateKey;)V,external/conscrypt/repackaged/common/src/main/java/com/android/org/conscrypt/OpenSSLSocketImpl.java,134,5,135,79,maxTargetSdk=30&trackingBug=170729553L
Lcom/android/org/conscrypt/OpenSSLSocketImpl;->getNpnSelectedProtocol()[B,external/conscrypt/repackaged/common/src/main/java/com/android/org/conscrypt/OpenSSLSocketImpl.java,143,5,144,33,
Lcom/android/org/conscrypt/OpenSSLSocketImpl;->setNpnProtocols([B)V,external/conscrypt/repackaged/common/src/main/java/com/android/org/conscrypt/OpenSSLSocketImpl.java,155,5,156,33,
Lcom/android/org/conscrypt/OpenSSLSocketImpl;->setAlpnProtocols([Ljava/lang/String;)V,external/conscrypt/repackaged/common/src/main/java/com/android/org/conscrypt/OpenSSLSocketImpl.java,167,5,170,108,maxTargetSdk=29&publicAlternatives=%22Use+%7B%40code+javax.net.ssl.SSLParameters%23setApplicationProtocols%28java.lang.String%5B%5D%29%7D.%22
Lcom/android/org/conscrypt/OpenSSLSocketImpl;->getAlpnSelectedProtocol()[B,external/conscrypt/repackaged/common/src/main/java/com/android/org/conscrypt/OpenSSLSocketImpl.java,181,5,184,93,maxTargetSdk=29&publicAlternatives=%22Use+%7B%40code+javax.net.ssl.SSLSocket%23getApplicationProtocol%28%29%7D.%22
Lcom/android/org/conscrypt/OpenSSLSocketImpl;->setAlpnProtocols([B)V,external/conscrypt/repackaged/common/src/main/java/com/android/org/conscrypt/OpenSSLSocketImpl.java,195,5,198,116,maxTargetSdk=29&publicAlternatives=%22Use+%7B%40code+javax.net.ssl.SSLParameters%23setApplicationProtocols%28java.lang.String%5B%5D%29%7D.%22
Lcom/android/org/conscrypt/OpenSSLX509Certificate;->mContext:J,external/conscrypt/repackaged/common/src/main/java/com/android/org/conscrypt/OpenSSLX509Certificate.java,63,5,63,51,
Lcom/android/org/conscrypt/OpenSSLX509Certificate;->fromX509PemInputStream(Ljava/io/InputStream;)Lcom/android/org/conscrypt/OpenSSLX509Certificate;,external/conscrypt/repackaged/common/src/main/java/com/android/org/conscrypt/OpenSSLX509Certificate.java,148,5,148,51,
Lcom/android/org/conscrypt/SSLParametersImpl;->x509TrustManager:Ljavax/net/ssl/X509TrustManager;,external/conscrypt/repackaged/common/src/main/java/com/android/org/conscrypt/SSLParametersImpl.java,72,5,72,51,
Lcom/android/org/conscrypt/SSLParametersImpl;->getDefault()Lcom/android/org/conscrypt/SSLParametersImpl;,external/conscrypt/repackaged/common/src/main/java/com/android/org/conscrypt/SSLParametersImpl.java,197,5,197,51,
Lcom/android/org/conscrypt/SSLParametersImpl;->getX509TrustManager()Ljavax/net/ssl/X509TrustManager;,external/conscrypt/repackaged/common/src/main/java/com/android/org/conscrypt/SSLParametersImpl.java,244,5,244,95,maxTargetSdk=30&trackingBug=170729553L
Lcom/android/org/conscrypt/SSLParametersImpl;->setEnabledProtocols([Ljava/lang/String;)V,external/conscrypt/repackaged/common/src/main/java/com/android/org/conscrypt/SSLParametersImpl.java,283,5,283,95,maxTargetSdk=30&trackingBug=170729553L
Lcom/android/org/conscrypt/SSLParametersImpl;->getDefaultX509TrustManager()Ljavax/net/ssl/X509TrustManager;,external/conscrypt/repackaged/common/src/main/java/com/android/org/conscrypt/SSLParametersImpl.java,595,5,595,51,
Lcom/android/org/conscrypt/TrustManagerImpl;-><init>(Ljava/security/KeyStore;)V,external/conscrypt/repackaged/common/src/main/java/com/android/org/conscrypt/TrustManagerImpl.java,152,5,153,33,
Lcom/android/org/conscrypt/TrustManagerImpl;->checkServerTrusted([Ljava/security/cert/X509Certificate;Ljava/lang/String;Ljava/lang/String;)Ljava/util/List;,external/conscrypt/repackaged/common/src/main/java/com/android/org/conscrypt/TrustManagerImpl.java,329,5,330,33,
Lcom/android/org/conscrypt/TrustedCertificateStore;-><init>()V,external/conscrypt/repackaged/platform/src/main/java/com/android/org/conscrypt/TrustedCertificateStore.java,130,5,131,33,
Lcom/android/org/conscrypt/TrustedCertificateStore;->getCertificateChain(Ljava/security/cert/X509Certificate;)Ljava/util/List;,external/conscrypt/repackaged/platform/src/main/java/com/android/org/conscrypt/TrustedCertificateStore.java,501,5,502,33,
Lcom/android/org/conscrypt/X509PublicKey;-><init>(Ljava/lang/String;[B)V,external/conscrypt/repackaged/common/src/main/java/com/android/org/conscrypt/X509PublicKey.java,34,5,34,51,
